id,code_id,field_id,label_en,label_fr,field_id__search_id,field_id__field_id
94,crrf-fcrr,22,Canadian Race Relations Foundation,La Fondation Canadienne des relations raciales,travelq,owner_org
95,crtc,22,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes,travelq,owner_org
96,csa-asc,22,Canadian Space Agency,Agence spatiale canadienne,travelq,owner_org
97,csc-scc,22,Correctional Service of Canada,Service correctionnel du Canada,travelq,owner_org
98,csec-cstc,22,Communications Security Establishment Canada,Centre de la sécurité des télécommunications Canada,travelq,owner_org
99,csis-scrs,22,Canadian Security Intelligence Service,Service canadien du renseignement de sécurité,travelq,owner_org
100,csps-efpc,22,Canada School of Public Service,École de la fonction publique du Canada,travelq,owner_org
101,cstm-mstc,22,Canada Science and Technology Museum,Musée des sciences et de la technologie du Canada,travelq,owner_org
102,cta-otc,22,Canadian Transportation Agency,Office des transports du Canada,travelq,owner_org
103,ctc-cct,22,Destination Canada,Destination Canada,travelq,owner_org
104,ct-tc,22,Competition Tribunal,Tribunal de la concurrence,travelq,owner_org
105,dcc-cdc,22,Defence Construction Canada,Construction de Défense Canada,travelq,owner_org
106,dfatd-maecd,22,Global Affairs Canada,Affaires mondiales Canada,travelq,owner_org
107,dfo-mpo,22,Fisheries and Oceans Canada,Pêches et Océans Canada,travelq,owner_org
108,dnd-mdn,22,National Defence,Défense nationale,travelq,owner_org
109,dpi,22,Datura Private Investments Inc.,Datura Private Investments Inc.,travelq,owner_org
110,dpm-vpm,22,Office of the Deputy Prime Minister,Vice-première ministre,travelq,owner_org
111,drdc-rddc,22,Defence Research and Development Canada,Recherche et développement pour la Défense Canada,travelq,owner_org
112,ec,22,Environment and Climate Change Canada,Environnement et Changement climatique Canada,travelq,owner_org
113,ecbc-secb,22,Enterprise Cape Breton Corporation,Société d'expansion du Cap-Breton,travelq,owner_org
114,edc,22,Export Development Canada,Exportation et développement Canada,travelq,owner_org
115,elections,22,Elections Canada,Élections Canada,travelq,owner_org
116,erc-cee,22,RCMP External Review Committee,Comité externe d'examen de la GRC,travelq,owner_org
117,esab-orad,22,Energy Supplies Allocation Board,Office de répartition des approvisionnements d’énergie,travelq,owner_org
118,esdc-edsc,22,Employment and Social Development Canada,Emploi et Développement social Canada,travelq,owner_org
119,exi,22,Exinvest Inc.,Exinvest Inc.,travelq,owner_org
120,external-externe,22,External User,Utilisateur externe,travelq,owner_org
121,fbcl-spfl,22,Federal Bridge Corporation,Société des ponts fédéraux,travelq,owner_org
122,fcac-acfc,22,Financial Consumer Agency of Canada,Agence de la consommation en matière financière du Canada,travelq,owner_org
